SbjNum,Area,Sex,Ethnicity,Age,Status,SchoolYrs
16035654,Rural,Female,Indigenous,24,Single,6
16035655,Rural,Female,Indigenous,23,Single,3
16035720,Rural,Male,Indigenous,20,Single,11
16035721,Rural,Male,Non-indigenous,18,Married,6
16035722,Urban,Female,Non-indigenous,18,Single,6
16035723,Rural,Female,Non-indigenous,15,Single,6
16035724,Rural,Male,Non-indigenous,18,Single,6
16035725,Rural,Female,Indigenous,16,Single,6
16035726,Urban,Female,Indigenous,22,Married,0
16035727,Rural,Female,Indigenous,21,Married,2
16035728,Rural,Female,Indigenous,24,Single,6
16035729,Rural,Male,Indigenous,18,Single,9
16035730,Rural,Male,Indigenous,18,Single,9
16035731,Rural,Female,Indigenous,21,Married,6
16035974,Rural,Male,Indigenous,20,Single,11
16035975,Rural,Male,Indigenous,15,Single,8
16035976,Rural,Female,Indigenous,16,Single,6
16035977,Rural,Female,Indigenous,19,Single,6
16035978,Rural,Male,Indigenous,23,Married,6
16035979,Urban,Male,Indigenous,23,Married,6
16036428,Rural,Female,Indigenous,17,Single,10
16036429,Rural,Male,Indigenous,17,Single,8
16036430,Rural,Male,Indigenous,15,Single,6
16036431,Rural,Female,Non-indigenous,20,Married,8
16036432,Rural,Male,Indigenous,24,Married,6
16036433,Rural,Female,Indigenous,15,Single,8
16036434,Urban,Male,Indigenous,17,Single,11
16036435,Urban,Female,Indigenous,15,Single,6
16036436,Urban,Female,Indigenous,18,Married,9
16036437,Urban,Male,Non-indigenous,15,Single,6
16036438,Urban,Male,Non-indigenous,21,Married,12
16036439,Urban,Female,Indigenous,20,Single,11
16036440,Urban,Female,Non-indigenous,23,Single,13
16036450,Urban,Female,Indigenous,20,Single,0
16036451,Urban,Female,Indigenous,24,Single,17
16036452,Urban,Male,Indigenous,24,Single,17
16036453,Urban,Male,Indigenous,15,Single,8
16036454,Urban,Female,Indigenous,18,Single,12
16036455,Urban,Male,Non-indigenous,22,Single,14
16036456,Urban,Female,Indigenous,18,Single,12
16036466,Rural,Female,Indigenous,16,Single,9
16036490,Urban,Male,Indigenous,15,Single,9
16036491,Urban,Female,Indigenous,21,Married,8
16036492,Urban,Female,Indigenous,17,Single,12
